City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Pisco,PE,76.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
162,Kahului,US,76.84,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
165,San Patricio,US,86.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
166,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
168,Faanui,PF,81.46,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
170,Tessalit,ML,79.34,clear sky,20.1986,1.0114,
173,Neiafu,TO,82.72,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
177,Dingle,PH,76.53,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
180,Luang Prabang,LA,75.61,broken clouds,19.8856,102.1347,The Apsara
185,Puri,IN,81.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
186,Tautira,PF,81.66,few clouds,-17.7333,-149.15,Pension Oaoa
187,Guapore,BR,76.71,clear sky,-28.8456,-51.8903,Hotel Topo Gigio
188,Georgetown,MY,78.75,few clouds,5.4112,100.3354,Cititel Penang
190,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
191,Coruripe,BR,83.97,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
195,Oussouye,SN,89.78,clear sky,12.485,-16.5469,Auberge du Routard
198,Ibicarai,BR,78.96,overcast clouds,-14.865,-39.5875,Pousada Patioba
201,Biltine,TD,86.43,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
205,Trincomalee,LK,78.76,broken clouds,8.5711,81.2335,Welcombe Hotel
207,Santa Maria,BR,78.1,few clouds,-29.6842,-53.8069,Hotel Morotin
209,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
212,Kalmunai,LK,79.95,scattered clouds,7.4167,81.8167,VS Villa
213,Bonthe,SL,79.63,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
215,Gizo,SB,82.78,overcast clouds,-8.103,156.8419,Imagination Island
216,Ouanaminthe,HT,87.64,scattered clouds,19.55,-71.7333,Chylton Hotel
220,Tura,IN,78.08,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
221,Aitape,PG,77.74,overcast clouds,-3.1374,142.3475,
225,Buchanan,LR,80.19,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
227,Micheweni,TZ,80.11,clear sky,-4.9667,39.8333,
229,Chikitigarh,IN,75.92,clear sky,19.2,84.6167,Chikiti kalyan mandap
232,Numan,NG,89.82,overcast clouds,9.4667,12.0333,Zangun Motel
237,Acapulco,MX,87.51,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
240,Victoria,HK,75.94,overcast clouds,22.2855,114.1577,Mini Hotel Central
241,Umiray,PH,78.78,broken clouds,15.2206,121.4111,The Chairmans Residence
248,Labe,GN,81.66,overcast clouds,11.3182,-12.2833,Hôtel Djamtum
250,Axim,GH,81.23,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
251,Labrea,BR,82.4,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
255,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
258,Cabedelo,BR,84.87,moderate rain,-6.9811,-34.8339,Hotel Pigalle
259,Lahij,YE,75.69,clear sky,13.1667,44.5833,
261,Kipini,KE,79.2,clear sky,-2.5257,40.5262,Delta Sea Mall
262,Kotar,IN,81.23,clear sky,24.7167,80.9833,Manmohan Tripathi
