City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Byron Bay,AU,-28.65,153.6167,64.29,92,4,9.13,clear sky
118,Hobart,AU,-42.8794,147.3294,62.46,85,100,8.05,overcast clouds
119,Kaliua,TZ,-5.0606,31.7936,66.92,95,93,4.85,light rain
120,Avarua,CK,-21.2078,-159.775,80.65,78,40,8.05,scattered clouds
121,Provideniya,RU,64.3833,-173.3,6.89,87,38,1.41,scattered clouds
122,Jaswantnagar,IN,26.8786,78.9028,78.96,18,0,1.77,clear sky
123,Darhan,MN,49.4867,105.9228,20.82,39,0,7.09,clear sky
124,Lazaro Cardenas,MX,17.9583,-102.2,85.84,35,0,9.37,clear sky
125,Mount Gambier,AU,-37.8333,140.7667,53.51,100,40,3.44,scattered clouds
126,Samarai,PG,-10.6167,150.6667,83.05,76,8,9.13,clear sky
127,Vila Velha,BR,-20.3297,-40.2925,80.94,76,40,18.41,scattered clouds
128,Ahipara,NZ,-35.1667,173.1667,66.76,92,7,9.78,clear sky
129,Necochea,AR,-38.5473,-58.7368,62.67,64,100,17.94,light rain
130,Kuching,MY,1.55,110.3333,73.62,100,40,3.44,light rain
131,Lompoc,US,34.6391,-120.4579,78.57,52,0,15.99,clear sky
132,Dikson,RU,73.5069,80.5464,-1.71,99,100,7.92,overcast clouds
133,La Ronge,CA,55.1001,-105.2842,34.05,100,100,5.75,overcast clouds
134,Ipubi,BR,-7.6519,-40.1489,83.26,54,91,5.3,overcast clouds
135,Karasjok,NO,69.4719,25.5112,30.99,73,96,27.67,overcast clouds
136,Polson,US,47.6936,-114.1632,42.22,59,100,1.99,overcast clouds
137,Tiksi,RU,71.6872,128.8694,-17.73,99,64,1.14,broken clouds
138,Ostrovnoy,RU,68.0531,39.5131,35.26,75,95,28.32,overcast clouds
139,Freeport,US,40.6576,-73.5832,63.5,32,0,14.97,clear sky
140,Port Macquarie,AU,-31.4333,152.9167,56.89,85,22,7.38,few clouds
141,Vardo,NO,70.3705,31.1107,33.78,75,75,42.57,broken clouds
142,Ajdabiya,LY,30.7554,20.2263,55.51,47,96,19.75,overcast clouds
143,Aksaray,TR,38.3726,34.0254,25.74,74,7,7.58,clear sky
144,Poretskoye,RU,55.1974,46.3291,18.45,91,5,3.98,clear sky
145,Chavakkad,IN,10.5333,76.05,81.09,77,1,3.0,clear sky
146,Hualmay,PE,-11.0964,-77.6139,75.29,70,73,11.14,broken clouds
147,Puyo,EC,-1.4667,-77.9833,74.44,88,75,4.61,broken clouds
148,Sao Filipe,CV,14.8961,-24.4956,70.77,73,8,12.41,clear sky
149,Kulhudhuffushi,MV,6.6221,73.07,82.76,68,48,13.73,scattered clouds
150,Saint George,US,37.1041,-113.5841,59.79,17,0,10.36,clear sky
151,Olafsvik,IS,64.8945,-23.7142,32.31,94,100,19.22,light snow
152,Roma,US,43.2128,-75.4557,51.82,46,20,24.16,few clouds
153,Kamaishi,JP,39.2667,141.8833,32.7,67,100,3.56,overcast clouds
154,Labuhan,ID,-6.8844,112.2051,77.38,86,100,4.47,moderate rain
155,Grindavik,IS,63.8424,-22.4338,39.67,93,100,13.8,overcast clouds
156,Half Moon Bay,US,37.4636,-122.4286,69.1,57,0,17.27,haze
157,Chokurdakh,RU,70.6333,147.9167,-2.9,86,100,12.82,overcast clouds
158,Puerto Madryn,AR,-42.7692,-65.0385,69.28,44,99,24.25,overcast clouds
159,Qeshm,IR,26.9581,56.2719,75.07,67,0,5.01,clear sky
160,Hasaki,JP,35.7333,140.8333,45.0,86,100,12.88,moderate rain
161,Pisco,PE,-13.7,-76.2167,76.01,73,0,9.22,clear sky
162,Kahului,US,20.8947,-156.47,76.84,76,100,4.0,overcast clouds
163,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,81,98,18.5,overcast clouds
164,Rudnogorsk,RU,57.2639,103.7519,11.41,97,100,4.07,overcast clouds
165,San Patricio,US,28.017,-97.5169,86.09,63,98,29.28,overcast clouds
166,Bitung,ID,1.4451,125.1824,76.05,87,99,7.72,overcast clouds
167,Myaundzha,RU,63.0494,147.1858,5.18,89,100,7.4,overcast clouds
168,Faanui,PF,-16.4833,-151.75,81.46,75,33,18.14,light rain
169,Homer,US,59.6425,-151.5483,33.76,60,0,8.01,clear sky
170,Tessalit,ML,20.1986,1.0114,79.34,9,0,10.63,clear sky
171,Guarda,PT,40.5373,-7.2658,43.9,95,100,2.01,overcast clouds
172,Sorland,NO,67.667,12.6934,39.06,61,53,3.96,broken clouds
173,Neiafu,TO,-18.65,-173.9833,82.72,78,100,20.98,overcast clouds
174,Ningxiang,CN,37.34,111.2052,39.13,81,100,6.46,overcast clouds
175,Tazovskiy,RU,67.4667,78.7,-12.98,100,24,5.48,few clouds
176,Carlet,ES,39.2333,-0.5167,57.31,96,100,13.0,moderate rain
177,Dingle,PH,10.9995,122.6711,76.53,89,100,6.62,overcast clouds
178,Pathein,MM,16.7833,94.7333,73.78,91,98,7.58,light rain
179,Yasnyy,RU,51.0333,59.8742,19.81,88,97,15.99,overcast clouds
180,Luang Prabang,LA,19.8856,102.1347,75.61,80,83,2.17,broken clouds
181,Nesbyen,NO,60.5681,9.1027,31.33,93,70,1.97,broken clouds
182,Cherskiy,RU,68.75,161.3,19.69,94,100,8.01,light snow
183,Lugovoy,KZ,42.9472,72.7644,33.53,98,100,5.7,snow
184,Lanxi,CN,29.2195,119.477,48.52,93,100,5.55,overcast clouds
185,Puri,IN,19.8,85.85,81.12,84,3,13.38,clear sky
186,Tautira,PF,-17.7333,-149.15,81.66,74,19,16.26,few clouds
187,Guapore,BR,-28.8456,-51.8903,76.71,42,1,6.89,clear sky
188,Georgetown,MY,5.4112,100.3354,78.75,87,20,2.3,few clouds
189,Ponta Do Sol,PT,32.6667,-17.1,64.71,71,100,7.54,overcast clouds
190,Ambon,ID,-3.6954,128.1814,77.14,94,40,4.61,scattered clouds
191,Coruripe,BR,-10.1256,-36.1756,83.97,64,28,11.72,scattered clouds
192,Moussoro,TD,13.6408,16.4901,90.68,12,100,11.34,overcast clouds
193,Klaksvik,FO,62.2266,-6.589,43.72,85,43,19.98,scattered clouds
194,Pringsewu,ID,-5.3582,104.9744,74.12,89,100,4.92,overcast clouds
195,Oussouye,SN,12.485,-16.5469,89.78,54,4,14.12,clear sky
196,Ust-Omchug,RU,61.15,149.6333,7.95,96,100,8.48,light snow
197,Okmulgee,US,35.6234,-95.9605,58.37,67,100,9.22,thunderstorm with rain
198,Ibicarai,BR,-14.865,-39.5875,78.96,75,100,5.75,overcast clouds
199,Beloha,MG,-25.1667,45.05,70.86,73,3,14.97,clear sky
200,Sioux Lookout,CA,50.1001,-91.917,39.27,41,75,11.5,broken clouds
201,Biltine,TD,14.5333,20.9167,86.43,7,0,8.77,clear sky
202,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,96.6,31,24,5.37,few clouds
203,Port Elizabeth,ZA,-33.918,25.5701,71.31,94,0,4.61,clear sky
204,Yumen,CN,40.2833,97.2,35.06,53,100,12.33,overcast clouds
205,Trincomalee,LK,8.5711,81.2335,78.76,85,70,8.7,broken clouds
206,Kwinana,AU,-32.25,115.7667,65.23,62,0,12.39,clear sky
207,Santa Maria,BR,-29.6842,-53.8069,78.1,53,20,13.8,few clouds
208,Airai,TL,-8.9266,125.4092,59.22,85,94,1.32,overcast clouds
209,Souillac,MU,-20.5167,57.5167,80.98,94,75,6.91,broken clouds
210,Lensk,RU,60.7253,114.9278,18.81,92,93,9.26,overcast clouds
211,Nakamura,JP,32.9833,132.9333,50.49,97,100,7.61,light rain
212,Kalmunai,LK,7.4167,81.8167,79.95,85,35,3.91,scattered clouds
213,Bonthe,SL,7.5264,-12.505,79.63,74,97,10.18,overcast clouds
214,Sokolo,ML,14.7328,-6.1219,95.85,12,90,7.83,overcast clouds
215,Gizo,SB,-8.103,156.8419,82.78,70,100,2.28,overcast clouds
216,Ouanaminthe,HT,19.55,-71.7333,87.64,46,44,17.13,scattered clouds
217,Liverpool,GB,53.4106,-2.9779,51.66,65,0,5.01,clear sky
218,Riverton,US,40.5219,-111.9391,43.86,52,0,16.11,clear sky
219,Lata,PT,40.1629,-8.3327,52.14,77,100,3.2,overcast clouds
220,Tura,IN,25.5198,90.2201,78.08,45,98,4.25,overcast clouds
221,Aitape,PG,-3.1374,142.3475,77.74,84,100,3.69,overcast clouds
222,Payo,ID,-3.7508,103.6372,72.45,75,100,2.46,overcast clouds
223,Torbay,CA,47.6666,-52.7314,36.28,98,100,6.91,snow
224,Sistranda,NO,63.7256,8.834,40.96,73,0,8.12,clear sky
225,Buchanan,LR,5.8808,-10.0467,80.19,84,15,8.93,few clouds
226,Devonport,AU,-41.1667,146.35,61.99,90,100,1.21,overcast clouds
227,Micheweni,TZ,-4.9667,39.8333,80.11,81,1,6.89,clear sky
228,Saint-Augustin,CA,51.226,-58.6502,31.5,99,100,15.75,snow
229,Chikitigarh,IN,19.2,84.6167,75.92,86,7,4.56,clear sky
230,Ashington,GB,50.9331,-0.3909,54.41,72,0,3.44,clear sky
231,Kijang,KR,35.2442,129.2139,46.13,79,100,5.86,light rain
232,Numan,NG,9.4667,12.0333,89.82,10,100,5.12,overcast clouds
233,Qaanaaq,GL,77.484,-69.3632,-2.76,85,100,8.86,overcast clouds
234,Usinsk,RU,65.9939,57.5281,13.53,97,100,8.86,overcast clouds
235,Tyup,KG,42.7276,78.3648,33.28,67,100,1.95,overcast clouds
236,Nikolayevka,RU,53.1257,47.2041,26.91,84,8,11.16,clear sky
237,Acapulco,MX,16.8634,-99.8901,87.51,42,0,10.36,clear sky
238,Kolokani,ML,13.5728,-8.0339,92.01,13,11,8.93,few clouds
239,Husavik,IS,66.0449,-17.3389,32.13,77,100,4.38,overcast clouds
240,Victoria,HK,22.2855,114.1577,75.94,94,96,13.0,overcast clouds
241,Umiray,PH,15.2206,121.4111,78.78,86,71,5.93,broken clouds
242,Yellowknife,CA,62.456,-114.3525,27.28,92,100,12.66,light snow
243,Isiolo,KE,0.3546,37.5822,72.81,62,3,9.57,clear sky
244,Tairua,NZ,-37.0167,175.85,66.6,95,100,4.52,overcast clouds
245,Turayf,SA,31.6725,38.6637,53.85,76,75,20.71,broken clouds
246,Ust-Tsilma,RU,65.441,52.1498,23.88,92,100,6.78,overcast clouds
247,Kankakee,US,41.15,-87.8667,73.22,42,0,20.71,clear sky
248,Labe,GN,11.3182,-12.2833,81.66,19,88,5.28,overcast clouds
249,Guerrero Negro,MX,27.9769,-114.0611,64.81,59,0,17.13,clear sky
250,Axim,GH,4.8699,-2.2405,81.23,83,57,6.89,broken clouds
251,Labrea,BR,-7.2586,-64.7981,82.4,84,91,1.72,overcast clouds
252,Jumla,NP,29.2747,82.1838,46.54,51,0,3.89,clear sky
253,Constitucion,CL,-35.3333,-72.4167,65.17,64,7,16.08,clear sky
254,Omaruru,NA,-21.4333,15.9333,73.2,64,69,10.36,light rain
255,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,17.27,scattered clouds
256,Ilulissat,GL,69.2167,-51.1,1.42,42,0,5.75,clear sky
257,Bahia Blanca,AR,-38.7196,-62.2724,62.92,52,100,13.22,overcast clouds
258,Cabedelo,BR,-6.9811,-34.8339,84.87,71,58,13.06,moderate rain
259,Lahij,YE,13.1667,44.5833,75.69,43,1,3.78,clear sky
260,Baruun-Urt,MN,46.6806,113.2792,17.6,48,0,8.08,clear sky
