City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Nisia Floresta,BR,2022-03-20 16:15:58,-6.0911,-35.2086,84.58,59,100,9.37
174,Constantine,DZ,2022-03-20 16:15:58,36.365,6.6147,58.41,62,40,17.27
175,Ilhabela,BR,2022-03-20 16:15:59,-23.7781,-45.3581,74.26,93,100,7.9
176,Chinsali,ZM,2022-03-20 16:16:00,-10.5414,32.0816,66.22,95,86,7.63
177,Tasiilaq,GL,2022-03-20 16:16:01,65.6145,-37.6368,24.96,61,0,7.81
178,Palmer,US,2022-03-20 16:17:01,42.1584,-72.3287,59.25,69,75,13.8
179,Uusikaupunki,FI,2022-03-20 16:16:16,60.8004,21.4084,34.57,88,45,4.54
180,Faanui,PF,2022-03-20 16:17:02,-16.4833,-151.75,82.85,71,64,20.6
181,Hoquiam,US,2022-03-20 16:17:02,46.9809,-123.8893,44.02,92,100,6.91
182,Geraldton,AU,2022-03-20 16:17:03,-28.7667,114.6,73.81,73,28,17.27
183,Kutum,SD,2022-03-20 16:17:04,14.2,24.6667,84.07,6,23,12.53
184,Ayr,GB,2022-03-20 16:17:05,55.4627,-4.6339,54.5,43,0,10.36
185,Neuquen,AR,2022-03-20 16:17:05,-38.9516,-68.0591,67.89,49,0,11.5
186,Nenton,GT,2022-03-20 16:17:06,15.8,-91.75,76.17,63,69,5.73
187,Sakaiminato,JP,2022-03-20 16:17:07,35.55,133.2333,40.98,87,75,3.44
188,Takoradi,GH,2022-03-20 16:17:07,4.8845,-1.7554,85.48,66,95,12.73
189,Kokhma,RU,2022-03-20 16:17:08,56.9349,41.0915,34.95,91,59,10.47
190,Rio Verde De Mato Grosso,BR,2022-03-20 16:17:08,-18.9181,-54.8442,87.3,60,53,1.99
191,Chokurdakh,RU,2022-03-20 16:17:09,70.6333,147.9167,-18.83,100,47,5.44
192,Bilma,NE,2022-03-20 16:13:20,18.6853,12.9164,96.46,4,13,3.8
193,Kagalnik,RU,2022-03-20 16:17:09,47.0769,39.323,36.72,54,0,8.3
194,Luderitz,NA,2022-03-20 16:17:10,-26.6481,15.1594,78.33,59,3,16.26
195,Laguna,US,2022-03-20 16:17:11,38.421,-121.4238,53.73,59,0,16.11
196,Kodar,IN,2022-03-20 16:17:12,16.9833,79.9667,84.09,55,73,8.52
197,Cidreira,BR,2022-03-20 16:17:13,-30.1811,-50.2056,68.11,66,99,12.53
198,Sorland,NO,2022-03-20 16:17:13,67.667,12.6934,43.68,82,99,34.45
199,Guaraniacu,BR,2022-03-20 16:17:14,-25.1008,-52.8781,78.01,63,32,1.14
200,Odweyne,SO,2022-03-20 16:17:14,9.4092,45.064,82.89,32,42,6.51
201,San Isidro,PE,2022-03-20 16:17:15,-12.1167,-77.05,71.51,59,100,5.75
202,Mbengwi,CM,2022-03-20 16:17:15,6.0167,10.0,88.47,15,27,6.35
203,Manawar,IN,2022-03-20 16:17:17,22.2333,75.0833,90.52,15,3,8.97
204,Ilulissat,GL,2022-03-20 16:17:18,69.2167,-51.1,-0.38,60,20,9.22
205,Ahmadpur,IN,2022-03-20 16:17:18,18.7,76.9333,88.25,14,70,4.45
206,Yongan,CN,2022-03-20 16:17:18,39.6957,113.6871,31.35,70,83,4.43
207,Limbang,MY,2022-03-20 16:17:19,4.75,115.0,75.31,98,100,1.88
208,Hervey Bay,AU,2022-03-20 16:17:20,-25.2986,152.8535,71.83,77,2,9.33
209,Kisangani,CD,2022-03-20 16:17:20,0.5167,25.2,85.41,55,94,3.09
210,Gat,IL,2022-03-20 16:16:02,31.61,34.7642,51.82,47,48,16.31
211,Marawi,PH,2022-03-20 16:17:21,7.9986,124.2928,69.28,93,100,1.03
212,Jamame,SO,2022-03-20 16:17:21,0.0722,42.7506,78.33,79,1,14.14
213,Whyalla,AU,2022-03-20 16:17:22,-33.0333,137.5833,67.89,88,11,10.36
214,Zhizdra,RU,2022-03-20 16:17:23,53.746,34.7395,32.79,91,7,6.76
215,Banjar,ID,2022-03-20 16:17:24,-8.19,114.9675,77.27,85,100,3.8
216,Bukachacha,RU,2022-03-20 16:17:25,52.9833,116.9167,-3.23,98,47,1.9
217,Bethel,US,2022-03-20 16:17:25,41.3712,-73.414,58.51,68,63,4.0
218,Codrington,AU,2022-03-20 16:17:26,-38.2667,141.9667,57.74,97,72,3.11
219,Belyy Yar,RU,2022-03-20 16:17:27,53.6039,91.3903,24.69,67,0,4.47
220,Honningsvag,NO,2022-03-20 16:17:27,70.9821,25.9704,41.76,87,100,29.82
221,Upington,ZA,2022-03-20 16:17:29,-28.4478,21.2561,79.18,53,40,4.61
222,Oistins,BB,2022-03-20 16:17:29,13.0667,-59.5333,77.09,78,75,12.66
223,Kodiak,US,2022-03-20 16:18:31,57.79,-152.4072,35.11,93,100,14.97
224,Varberg,SE,2022-03-20 16:18:31,57.1056,12.2508,49.05,73,3,10.22
225,Vila Velha,BR,2022-03-20 16:18:33,-20.3297,-40.2925,91.35,57,0,13.8
226,Hammond,US,2022-03-20 16:15:23,41.5834,-87.5,54.23,70,0,4.0
227,Kargasok,RU,2022-03-20 16:18:34,59.0556,80.8572,20.37,90,100,16.28
228,Atasu,KZ,2022-03-20 16:18:35,48.6814,71.6433,0.61,100,50,6.29
229,Bahia Blanca,AR,2022-03-20 16:14:02,-38.7196,-62.2724,72.61,26,97,14.16
230,New Glasgow,CA,2022-03-20 16:18:36,45.5834,-62.6486,47.79,98,100,10.07
231,Grootfontein,NA,2022-03-20 16:18:36,-19.5667,18.1167,72.97,66,72,9.57
232,Kruisfontein,ZA,2022-03-20 16:18:38,-34.0033,24.7314,72.88,77,35,11.83
233,Byron Bay,AU,2022-03-20 16:15:44,-28.65,153.6167,62.71,89,65,10.54
234,Ajka,HU,2022-03-20 16:18:39,47.102,17.5589,45.45,30,6,8.55
235,Lavrentiya,RU,2022-03-20 16:18:41,65.5833,-171.0,-10.93,74,22,4.14
236,Front Royal,US,2022-03-20 16:13:58,38.9182,-78.1944,56.59,44,75,13.8
237,Pyapon,MM,2022-03-20 16:18:42,16.2833,95.6833,81.57,72,74,8.14
238,Port Keats,AU,2022-03-20 16:17:32,-14.25,129.55,84.11,79,98,4.54
239,Carupano,VE,2022-03-20 16:18:38,10.6678,-63.2585,81.05,70,44,14.29
240,Ostrovnoy,RU,2022-03-20 16:18:42,68.0531,39.5131,30.94,87,95,26.71
241,Nome,US,2022-03-20 16:18:43,64.5011,-165.4064,-5.73,77,0,3.44
242,Port Augusta,AU,2022-03-20 16:18:43,-32.5,137.7667,71.22,74,8,8.43
243,Trairi,BR,2022-03-20 16:15:08,-3.2778,-39.2689,84.13,68,96,8.19
244,Mulchen,CL,2022-03-20 16:18:44,-37.7167,-72.2333,62.46,16,100,2.68
245,Praia,CV,2022-03-20 16:18:44,14.9215,-23.5087,77.54,50,19,21.85
246,Nador,MA,2022-03-20 16:18:45,35.174,-2.9287,62.85,77,20,14.97
247,Matay,EG,2022-03-20 16:16:15,28.419,30.7792,66.63,28,33,18.14
248,Kachug,RU,2022-03-20 16:18:46,53.9606,105.8817,-1.19,100,56,2.06
249,Imeni Poliny Osipenko,RU,2022-03-20 16:18:46,52.4201,136.4853,-10.17,99,45,1.25
250,The Valley,AI,2022-03-20 16:18:47,18.217,-63.0578,82.54,57,20,20.71
251,Huarmey,PE,2022-03-20 16:18:47,-10.0681,-78.1522,74.39,72,96,10.47
252,Umm Kaddadah,SD,2022-03-20 16:18:48,13.6017,26.6876,88.09,5,4,8.9
253,Touros,BR,2022-03-20 16:18:48,-5.1989,-35.4608,85.39,65,98,11.99
254,Bambous Virieux,MU,2022-03-20 16:18:49,-20.3428,57.7575,79.21,100,75,0.0
255,Altay,CN,2022-03-20 16:18:49,47.8667,88.1167,14.92,72,16,7.74
256,Mizan Teferi,ET,2022-03-20 16:18:49,6.9833,35.5833,68.65,71,86,3.69
257,Verkh-Chebula,RU,2022-03-20 16:18:50,56.0308,87.6218,18.88,83,98,17.36
258,Mana,GF,2022-03-20 16:18:50,5.6592,-53.7767,80.98,76,51,12.84
259,Havoysund,NO,2022-03-20 16:18:50,70.9963,24.6622,41.77,90,100,32.37
260,Grajau,BR,2022-03-20 16:18:51,-5.8194,-46.1386,84.49,72,62,3.13
261,Phek,IN,2022-03-20 16:18:51,25.6667,94.5,55.56,44,21,0.76
262,Bonthe,SL,2022-03-20 16:18:51,7.5264,-12.505,85.46,59,71,12.75
263,Victoria,HK,2022-03-20 16:18:52,22.2855,114.1577,72.95,89,91,13.0
264,Bima,ID,2022-03-20 16:18:53,-8.4667,118.7167,75.36,92,100,2.28
265,Kirovsk,UA,2022-03-20 16:18:53,48.6375,38.6428,26.73,82,0,6.71
266,Tiarei,PF,2022-03-20 16:18:54,-17.5333,-149.3333,78.82,74,100,19.89
267,Pisco,PE,2022-03-20 16:14:38,-13.7,-76.2167,73.02,83,20,10.36
268,Limon,CR,2022-03-20 16:15:02,10.0,-83.0333,82.29,78,40,6.91
269,Inirida,CO,2022-03-20 16:19:55,3.8653,-67.9239,74.66,96,100,3.13
270,Saint George,US,2022-03-20 16:15:23,37.1041,-113.5841,59.79,47,0,1.99
271,Napier,NZ,2022-03-20 16:19:55,-39.4833,176.9167,58.28,81,100,5.66
272,Lebu,CL,2022-03-20 16:19:56,-37.6167,-73.65,62.17,62,99,6.62
273,Bad Doberan,DE,2022-03-20 16:17:23,54.1071,11.9005,52.93,35,0,18.34
274,Araouane,ML,2022-03-20 16:19:56,18.9048,-3.5265,95.7,8,35,7.67
275,Ancud,CL,2022-03-20 16:19:57,-41.8697,-73.8203,53.22,88,100,5.32
276,Kislyakovskaya,RU,2022-03-20 16:19:58,46.4417,39.675,32.31,65,0,8.1
277,Gidrotorf,RU,2022-03-20 16:19:58,56.4744,43.5414,40.98,94,99,11.21
278,Iquitos,PE,2022-03-20 16:19:59,-3.7481,-73.2472,82.44,78,75,2.3
279,Goderich,CA,2022-03-20 16:20:00,43.7501,-81.7165,39.9,87,100,6.91
280,Ambovombe,MG,2022-03-20 16:20:00,-25.1667,46.0833,71.33,67,16,16.06
281,Lensk,RU,2022-03-20 16:20:01,60.7253,114.9278,22.32,92,100,10.45
282,Cayenne,GF,2022-03-20 16:20:02,4.9333,-52.3333,83.08,1,75,12.66
283,Jumla,NP,2022-03-20 16:20:03,29.2747,82.1838,48.87,65,27,5.14
284,Silver City,US,2022-03-20 16:20:03,32.7701,-108.2803,57.02,14,0,6.91
285,Antalaha,MG,2022-03-20 16:20:04,-14.9003,50.2788,77.22,90,100,7.29
286,Tateyama,JP,2022-03-20 16:20:05,34.9833,139.8667,48.09,82,100,17.16
287,Deloraine,AU,2022-03-20 16:20:05,-41.5333,146.6667,58.15,15,56,1.88
288,Songjianghe,CN,2022-03-20 16:20:06,42.1859,127.479,8.44,93,31,4.61
289,Roxas,PH,2022-03-20 16:20:07,11.5853,122.7511,80.01,86,100,8.39
290,Lexington,US,2022-03-20 16:18:18,37.9887,-84.4777,54.99,47,0,16.11
291,Zyryanovsk,KZ,2022-03-20 16:20:07,49.7386,84.2719,5.54,97,93,2.06
292,Poum,NC,2022-03-20 16:20:08,-20.2333,164.0167,80.82,79,100,19.08
293,Ambilobe,MG,2022-03-20 16:20:08,-13.2,49.05,76.93,92,100,1.34
294,Marienburg,PL,2022-03-20 16:20:09,54.0359,19.0266,51.89,48,0,5.44
295,Kieta,PG,2022-03-20 16:20:10,-6.2167,155.6333,79.68,82,69,3.76
